name,age,value,nationality,overall,potential,club
J. Boote,18,€230K,England,58,71,Bournemouth
Rafa López,33,€950K,Spain,71,71,CF Rayo Majadahonda
G. Edmundson,20,€325K,England,60,71,Oldham Athletic
Víctor Díaz,30,€1.7M,Spain,71,71,Granada CF
S. Baptiste,20,€190K,England,55,71,Oxford United
Osmar,30,€1.8M,Spain,71,71,Cerezo Osaka
Carlos Vicente,19,€350K,Spain,60,71,Real Zaragoza
M. Boland,31,€2M,Germany,71,71,Adelaide United
M. Prinz,18,€150K,Germany,55,71,SC Preußen Münster
C. Moritz,28,€2.4M,Germany,71,71,Hamburger SV
J. McAtee,18,€140K,England,54,71,Shrewsbury
Pedro López,34,€675K,Spain,71,71,Levante UD
G. Miller,19,€450K,England,62,71,Bradford City
E. Oztumer,27,€2M,England,70,71,Bolton Wanderers
Y. Emghames,20,€250K,Germany,58,71,Hannover 96
W. Routledge,33,€1.4M,England,71,71,Swansea City
A. Payne,18,€180K,England,55,71,Norwich City
D. Nugent,33,€1.5M,England,71,71,Derby County
M. Donohue,20,€250K,England,58,71,Fleetwood Town
A. Cole,37,€270K,England,71,71,LA Galaxy
M. Layer,19,€160K,Germany,56,71,VfR Aalen
T. Schütz,30,€1.8M,Germany,71,71,DSC Arminia Bielefeld
S. Brodersen,21,€325K,Germany,61,71,FC St. Pauli
M. Duffy,32,€1.8M,England,71,71,Sheffield United
Guille Lara,22,€220K,Spain,59,71,UD Almería
O. Fink,36,€750K,Germany,71,71,Fortuna Düsseldorf
Javi López,17,€210K,Spain,58,71,Elche CF
J. Garner,30,€2.3M,England,71,71,Wigan Athletic
R. Clampin,19,€170K,England,55,71,Colchester United
Enric Gallego,31,€2.1M,Spain,71,71,Extremadura UD
M. Komenda,21,€325K,Germany,60,71,SV Meppen
I. Höhn,26,€1.1M,Germany,69,71,SV Darmstadt 98
Yeremi Valerón,21,€350K,Spain,61,71,UD Las Palmas
T. Hoogland,33,€950K,Germany,71,71,VfL Bochum 1848
D. Dalling,19,€150K,England,54,71,Queens Park Rangers
Jaime Romero,27,€2.5M,Spain,71,71,Córdoba CF
T. Johnson,19,€350K,England,60,71,Southampton
Luis García,37,€750K,Spain,71,71,KAS Eupen
J. Bruhns,19,€210K,Germany,59,71,SC Fortuna Köln
S. Mockenhaupt,26,€1.1M,Germany,69,71,SV Wehen Wiesbaden
W. Miller,22,€475K,England,62,71,Burton Albion
C. Rizzuto,26,€1M,Germany,69,71,FC Erzgebirge Aue
J. Storey,20,€350K,England,61,71,Preston North End
G. Friend,30,€1.7M,England,71,71,Middlesbrough
J. Guttau,18,€180K,Germany,55,71,Hallescher FC
H. Lansbury,27,€2.4M,England,71,71,Aston Villa
C. Camwell,19,€130K,England,54,71,Coventry City
A. Mühling,25,€1.3M,Germany,69,71,Holstein Kiel
S. Nkansah,22,€400K,Germany,62,71,Eintracht Braunschweig
B. Behrendt,26,€1.1M,Germany,69,71,DSC Arminia Bielefeld
N. Awassi,20,€220K,Germany,58,71,VfL Sportfreunde Lotte
J. Lowe,26,€1.1M,England,69,71,Bolton Wanderers
N. Feil,19,€140K,Germany,54,71,VfR Aalen
C. Jenkinson,26,€1M,England,69,71,Arsenal
E. Amenyido,20,€350K,Germany,60,71,VfL Osnabrück
S. Neumann,27,€1M,Germany,69,71,MSV Duisburg
L. Weinkauf,21,€220K,Germany,59,71,Hannover 96
M. Roberts,27,€1M,England,69,71,Birmingham City
L. Butroid,19,€130K,England,54,71,Scunthorpe United
M. Kolke,27,€850K,Germany,69,71,SV Wehen Wiesbaden
M. Virtue,21,€250K,England,59,71,Liverpool
M. Thiel,25,€1.3M,Germany,69,71,1. FC Heidenheim 1846
A. Fletcher,19,€220K,England,57,71,Plymouth Argyle
R. Leonard,26,€1.2M,England,69,71,Millwall
S. Woods,19,€200K,England,57,71,Crystal Palace
Ángel Galván,25,€525K,Spain,65,71,CD Tenerife
N. Bishop,18,€170K,England,57,71,Southend United
J. Nolan,26,€1.1M,England,68,71,Ipswich Town
C. Ogilvie,22,€400K,England,62,71,Gillingham
D. Pelivan,22,€400K,Germany,62,71,SG Sonnenhof Großaspach
D. Oldaker,19,€450K,England,62,71,Gillingham
B. Thoelke,26,€925K,Germany,68,71,FC Admira Wacker Mödling
Rayco,21,€475K,Spain,62,71,CD Lugo
Cristian Ceballos,25,€1.1M,Spain,68,71,Sint-Truidense VV
J. Lundstram,24,€1.1M,England,68,71,Sheffield United
G. Nauber,26,€925K,Germany,68,71,MSV Duisburg
D. Agyei,21,€475K,England,62,71,Burnley
K. Moore,25,€1.1M,England,68,71,Barnsley
R. Tunnicliffe,25,€1.1M,England,68,71,Millwall
A. Nandzik,25,€925K,Germany,68,71,SSV Jahn Regensburg
Quique Cebriá,23,€350K,Spain,62,71,SD Eibar
N. Kreuzer,25,€925K,Germany,68,71,SG Dynamo Dresden
B. Saller,25,€925K,Germany,68,71,SSV Jahn Regensburg
De La Hoz,26,€925K,Spain,68,71,UD Almería
Gonzalo Pereira,21,€475K,Spain,63,71,CF Reus Deportiu
Borja Domínguez,26,€1.1M,Spain,68,71,AD Alcorcón
J. Flores,22,€525K,England,63,71,Östersunds FK
S. Schäfer,24,€950K,Germany,68,71,1. FC Magdeburg
Mario González,22,€550K,Spain,63,71,Villarreal CF
F. Müller,25,€1.1M,Germany,68,71,SV Sandhausen
K. Stewart,24,€950K,England,68,71,Hull City
T. Mohr,22,€550K,Germany,63,71,SpVgg Greuther Fürth
T. Blomeyer,22,€475K,Germany,63,71,MSV Duisburg
Alain Oyarzun,24,€1.1M,Spain,68,71,CD Numancia
Jesús Valentín,26,€925K,Spain,68,71,Córdoba CF
M. Rossmann,23,€475K,Germany,63,71,Heracles Almelo
J. Coleman,22,€400K,England,63,71,Shrewsbury
J. Rose,23,€400K,England,63,71,Southampton
K. Vollmann,24,€1.1M,Germany,68,71,SV Sandhausen
Pistu,21,€475K,Spain,63,71,AD Alcorcón
R. Haynes,22,€450K,England,63,71,Shrewsbury
J. Flanagan,25,€825K,England,67,71,Rangers FC
J. Strauß,22,€450K,Germany,63,71,FC Erzgebirge Aue
D. Iorfa,23,€825K,England,67,71,Wolverhampton Wanderers
W. Nightingale,22,€475K,England,63,71,AFC Wimbledon
S. Müller,22,€400K,Germany,63,71,Karlsruher SC
L. Garbutt,25,€825K,England,67,71,Oxford United
Carlos Doncel,21,€550K,Spain,63,71,RCD Espanyol
D. Gape,23,€725K,England,65,71,Wycombe Wanderers
J. Sellars,22,€550K,England,63,71,Östersunds FK
Elgezabal,25,€825K,Spain,67,71,AD Alcorcón
Moi Delgado,24,€525K,Spain,64,71,Real Valladolid CF
J. von Haacke,24,€975K,Germany,67,71,SV Meppen
D. Undav,21,€650K,Germany,64,71,SV Meppen
A. Oshilaja,25,€825K,England,67,71,AFC Wimbledon
A. Woodyard,25,€825K,England,67,71,Peterborough United
Derik,25,€825K,Spain,67,71,CD Numancia
Genís,21,€550K,Spain,64,71,Levante UD
D. Slamar,23,€550K,Germany,64,71,FC Carl Zeiss Jena
Imanol García,22,€625K,Spain,64,71,Gimnàstic de Tarragona
Óscar Valentín,23,€725K,Spain,65,71,CF Rayo Majadahonda
C. Townsend,25,€825K,England,67,71,West Bromwich Albion
Jauregi,21,€650K,Spain,64,71,Levante UD
Rufo,25,€1M,Spain,67,71,Sandefjord Fotball
Damià,22,€625K,Spain,65,71,RCD Espanyol
D. Srbeny,24,€1M,Germany,67,71,Norwich City
R. Scheu,23,€750K,Germany,65,71,SC Fortuna Köln
Juan Cámara,24,€725K,Spain,65,71,Miedź Legnica
Álex López,24,€875K,Spain,66,71,RCD Mallorca
Rafa Páez,23,€725K,Spain,66,71,FC Sochaux-Montbéliard
F. Hansch,22,€750K,Germany,65,71,SV Sandhausen
F. Palacios Martínez,23,€750K,Spain,65,71,1. FC Nürnberg
E. Pinnock,25,€525K,England,64,71,Barnsley
J. Graham,23,€850K,England,66,71,Ipswich Town
B. Whiteman,22,€725K,England,66,71,Doncaster Rovers
D. Samuel,24,€875K,England,66,71,Blackburn Rovers
J. Baldwin,25,€725K,England,66,71,Sunderland
P. Mpanzu,24,€850K,England,66,71,Luton Town
K. Wagner,21,€725K,Germany,66,71,FC Würzburger Kickers
L. Görtler,24,€750K,Germany,65,71,FC Utrecht
Higinio,24,€875K,Spain,66,71,CD Numancia
Edu Espiau,23,€750K,Spain,65,71,UD Las Palmas
Abdón,25,€875K,Spain,66,71,RCD Mallorca
J. Düker,22,€875K,Germany,66,71,SC Paderborn 07
M. Sauer,24,€725K,Germany,66,71,SpVgg Greuther Fürth
N. Mason,21,€550K,England,64,71,Doncaster Rovers
P. Mainka,23,€725K,Germany,66,71,1. FC Heidenheim 1846
C. Aneke,24,€875K,England,66,71,Milton Keynes Dons
L. Nicholls,25,€625K,England,66,71,Milton Keynes Dons
J. Reeves,25,€850K,England,66,71,Bradford City
F. Klos,30,€2.3M,Germany,71,71,DSC Arminia Bielefeld
Alejandro Rodríguez,26,€2.6M,Spain,71,71,Empoli
T. Elphick,30,€1.8M,England,71,71,Hull City
David Ferreiro,30,€2.2M,Spain,71,71,SD Huesca
Antoñito,30,€1.7M,Spain,71,71,Real Valladolid CF
S. Aigner,30,€2.2M,Germany,71,71,KFC Uerdingen 05
Samu García,28,€2.4M,Spain,71,71,Levante UD
Álex Martínez,27,€2M,Spain,71,71,Granada CF
D. Contento,28,€1.9M,Germany,71,71,Fortuna Düsseldorf
Paco Montañés,31,€2.1M,Spain,71,71,CD Tenerife
Juan Carlos,30,€1.5M,Spain,71,71,CD Lugo
M. Pugh,31,€2.1M,England,71,71,Bournemouth
Javi Moyano,32,€1.3M,Spain,71,71,Real Valladolid CF
K. Großkreutz,29,€1.8M,Germany,71,71,KFC Uerdingen 05
T. Kessler,32,€1.4M,Germany,71,71,1. FC Köln
M. Beevers,28,€1.9M,England,71,71,Bolton Wanderers
Dorado,35,€550K,Spain,71,71,Rayo Vallecano
J. Hiwula,23,€650K,England,64,71,Coventry City
Nauzet,33,€1.2M,Spain,71,71,UD Las Palmas
T. Clarke,30,€1.8M,England,71,71,Preston North End
M. Grüttner,32,€1.9M,Germany,71,71,SSV Jahn Regensburg
P. Ebert,31,€2.1M,Germany,71,71,SG Dynamo Dresden
Dorca,35,€550K,Spain,71,71,AD Alcorcón
Manu Barreiro,31,€2.1M,Spain,71,71,Gimnàstic de Tarragona
Oier,32,€1.4M,Spain,71,71,CA Osasuna
B. Marshall,27,€2.5M,England,71,71,Norwich City
Arroyo,29,€1.8M,Spain,71,71,Albacete BP
J. Callsen-Bracker,33,€950K,Germany,71,71,FC Augsburg
B. Sharp,32,€1.9M,England,71,71,Sheffield United
R. Hilbert,33,€900K,Germany,71,71,SpVgg Greuther Fürth
Deivid,29,€1.8M,Spain,71,71,UD Las Palmas
Jesús Imaz,27,€2.5M,Spain,71,71,Wisła Kraków
Fidel,28,€2.4M,Spain,71,71,UD Las Palmas
Unai Medina,28,€1.9M,Spain,71,71,CD Numancia
M. Männel,30,€1.5M,Germany,71,71,FC Erzgebirge Aue
M. Dawson,34,€725K,England,71,71,Nottingham Forest
Cristian López,29,€2.4M,Spain,71,71,Angers SCO
Carlos Martínez,32,€1.3M,Spain,71,71,Real Oviedo
Zapater,33,€1.4M,Spain,71,71,Real Zaragoza
M. Caligiuri,34,€725K,Germany,71,71,SpVgg Greuther Fürth
P. Tietz,20,€650K,Germany,64,71,FC Carl Zeiss Jena
Javi Castellano,30,€1.8M,Spain,71,71,UD Las Palmas
Carlos Gutiérrez,26,€1.7M,Spain,70,71,CD Numancia
Dani Castellano,30,€1.7M,Spain,71,71,UD Las Palmas
Rubén Enri,20,€450K,Spain,62,70,CF Reus Deportiu
Ortuño,27,€1.9M,Spain,70,70,Albacete BP
F. Arkenberg,22,€375K,Germany,62,70,Hallescher FC
R. Himmelmann,29,€1.2M,Germany,70,70,FC St. Pauli
Javi Rubio,19,€220K,Spain,58,70,Rayo Vallecano
Ayala,21,€400K,Spain,62,70,CF Reus Deportiu
J. Walton,20,€110K,England,53,70,Barnsley
C. Greger,21,€525K,Germany,64,70,SpVgg Unterhaching
J. Weir,22,€450K,England,62,70,Hull City
R. Benatelli,26,€1.1M,Germany,68,70,SG Dynamo Dresden
J. Turnbull,23,€375K,England,62,70,Northampton Town
P. Kurzweg,24,€700K,Germany,66,70,FC Würzburger Kickers
O. Olomola,20,€350K,England,60,70,Yeovil Town
Tomeu Nadal,29,€825K,Spain,69,70,Albacete BP
S. Cosgrove,21,€350K,England,60,70,Aberdeen
J. Grahl,29,€825K,Germany,69,70,VfB Stuttgart
J. Brändle,18,€110K,Germany,53,70,1. FC Heidenheim 1846
Héctor,27,€975K,Spain,69,70,CD Tenerife
M. Bola,20,€290K,England,60,70,Blackpool
D. Davis,27,€1.2M,England,69,70,Birmingham City
J. Livesey,18,€60K,England,47,70,Burton Albion
F. Rawson,21,€525K,England,64,70,Forest Green Rovers
R. Harvey,18,€190K,England,56,70,Millwall
F. Schleusener,26,€1.3M,Germany,69,70,SV Sandhausen
T. Thomas,22,€375K,England,62,70,AFC Wimbledon
T. Weilandt,26,€1.2M,Germany,69,70,VfL Bochum 1848
J. Thompson,19,€180K,England,56,70,Coventry City
T. Beermann,27,€1M,Germany,69,70,1. FC Heidenheim 1846
B. Koglin,21,€350K,Germany,61,70,FC St. Pauli
S. Thesker,27,€1M,Germany,69,70,Holstein Kiel
S. Wilson,19,€120K,England,54,70,Mansfield Town
M. Ferrier,23,€725K,England,65,70,Walsall
A. Iontton,17,€60K,England,49,70,Stevenage
S. Yesil,24,€725K,Germany,65,70,KFC Uerdingen 05
S. McCoulsky,21,€450K,England,62,70,Southend United
M. Heyer,23,€525K,Germany,64,70,Hallescher FC
A. Sicker,21,€290K,Germany,60,70,Holstein Kiel
J. George,25,€1.2M,Germany,69,70,SSV Jahn Regensburg
J. Earing,19,€190K,England,55,70,Bolton Wanderers
Y. Stark,27,€1M,Germany,69,70,SV Darmstadt 98
A. Bass,20,€160K,England,57,70,Portsmouth
Chuli,27,€1.2M,Spain,69,70,Extremadura UD
R. Edmonds-Green,19,€170K,England,55,70,Huddersfield Town
Iván Sánchez,25,€1.2M,Spain,69,70,Elche CF
T. Jacobsen,21,€325K,Germany,61,70,SV Werder Bremen
Marco Sangalli,26,€1.2M,Spain,69,70,AD Alcorcón
F. Geisler,21,€400K,Germany,61,70,FC Energie Cottbus
D. Bomheuer,27,€1M,Germany,69,70,MSV Duisburg
Borja Domingo,22,€450K,Spain,62,70,CA Osasuna
S. Dursun,26,€1.3M,Germany,69,70,SV Darmstadt 98
J. Hoffmann,22,€450K,Germany,62,70,SG Sonnenhof Großaspach
P. Filipović,27,€1M,Germany,69,70,Atiker Konyaspor
Álex Mozo,23,€375K,Spain,61,70,CD Leganés
Álvaro Peña,26,€1.2M,Spain,69,70,AD Alcorcón
E. Robson,21,€260K,England,59,70,Sunderland
L. Gregory,29,€1.8M,England,70,70,Millwall
Sergio García,20,€260K,Spain,60,70,Real Zaragoza
Eloi Amagat,33,€1M,Spain,70,70,New York City FC
L. White,19,€190K,England,57,70,Millwall
T. Kempe,29,€1.7M,Germany,70,70,SV Darmstadt 98
B. Liddle,19,€190K,England,57,70,Middlesbrough
Montoro,30,€1.3M,Spain,70,70,Granada CF
M. Funk,22,€290K,Germany,61,70,SpVgg Greuther Fürth
Rodri,28,€1.8M,Spain,70,70,Granada CF
M. Behrens,21,€260K,Germany,60,70,Hamburger SV
S. Jakubiak,25,€700K,Germany,66,70,Heracles Almelo
F. Kraft,19,€160K,Germany,55,70,VfL Bochum 1848
E. Bennett,29,€1.7M,England,70,70,Blackburn Rovers
L. Woolfenden,19,€280K,England,60,70,Swindon Town
D. Potts,24,€525K,England,64,70,Luton Town
A. Rossipal,22,€375K,Germany,62,70,SV Sandhausen
G. Wegkamp,25,€725K,Germany,65,70,VfL Sportfreunde Lotte
H. Cornick,23,€450K,England,62,70,Luton Town
S. Winnall,27,€1.9M,England,70,70,Sheffield Wednesday
Pablo Cacharrón,21,€180K,Spain,58,70,CD Lugo
Ramón Folch,28,€1.8M,Spain,70,70,Real Oviedo
A. Ceylan,20,€270K,Germany,59,70,SC Fortuna Köln
B. Johnson,31,€1.5M,England,70,70,Derby County
C. Oxlade-Chamberlain,20,€180K,England,55,70,Notts County
F. Jungwirth,29,€1.4M,Germany,70,70,San Jose Earthquakes
Y. Otto,19,€200K,Germany,57,70,Eintracht Braunschweig
Campillo,27,€1.9M,Spain,70,70,CD Lugo
M. Zach,18,€150K,Germany,57,70,Hallescher FC
J. Hochscheidt,30,€1.6M,Germany,70,70,FC Erzgebirge Aue
L. Schelenz,19,€200K,Germany,58,70,KFC Uerdingen 05
M. Seegert,24,€525K,Germany,64,70,SV Sandhausen
D. Lippert,22,€325K,Germany,61,70,1. FC Nürnberg
L. O'Nien,23,€700K,England,65,70,Sunderland
D. Butterworth,18,€180K,England,55,70,Blackburn Rovers
P. Türpitz,26,€1.9M,Germany,70,70,1. FC Magdeburg
A. Parsons,19,€130K,England,54,70,Bristol City
M. Terrazzino,27,€1.9M,Germany,70,70,SC Freiburg
K. Yao,19,€110K,England,53,70,Charlton Athletic
J. Husband,24,€600K,England,65,70,Fleetwood Town
D. Parker,18,€190K,England,57,70,Walsall
L. Jutkiewicz,29,€1.8M,England,70,70,Birmingham City
L. Bätge,20,€260K,Germany,60,70,FC Würzburger Kickers
Juan Dominguez,28,€1.8M,Spain,70,70,CF Reus Deportiu
L. Scherff,21,€400K,Germany,61,70,FC Hansa Rostock
Borja Fernández,37,€240K,Spain,70,70,Real Valladolid CF
G. Rogers,17,€180K,England,55,70,Yeovil Town
M. Stiepermann,27,€1.9M,Germany,70,70,Norwich City
T. Lowery,20,€190K,England,55,70,Crewe Alexandra
Errasti,30,€1.3M,Spain,70,70,AD Alcorcón
K. Monlouis,22,€325K,England,60,70,Hamilton Academical FC
S. Çinaz,32,€1M,Germany,70,70,Kayserispor
J. Grayson,19,€170K,England,55,70,Blackburn Rovers
Alberto Martín,29,€1.4M,Spain,70,70,Granada CF
D. Barnes,22,€290K,England,61,70,Colchester United
C. Janker,33,€725K,Germany,70,70,FC Augsburg
Madger Gomes,21,€270K,Spain,59,70,FC Sochaux-Montbéliard
Hernán,27,€1.8M,Spain,70,70,Real Sporting de Gijón
P. Chato,21,€290K,Germany,60,70,VfL Sportfreunde Lotte
D. Schmidt,31,€1.2M,Germany,70,70,Holstein Kiel
T. Duman,20,€230K,Germany,58,70,Fortuna Düsseldorf
Alex López,30,€1.6M,Spain,70,70,Brisbane Roar
Campos,23,€290K,Spain,61,70,CD Numancia
P. Pentke,33,€900K,Germany,70,70,SSV Jahn Regensburg
Otaño,22,€260K,Spain,60,70,CD Tenerife
J. Flum,30,€1.3M,Germany,70,70,FC St. Pauli
D. Telford,21,€400K,England,61,70,Bury
M. Schäffler,29,€1.8M,Germany,70,70,SV Wehen Wiesbaden
S. Hart,21,€290K,England,60,70,Rochdale
Miguel Torres,32,€1M,Spain,70,70,Málaga CF
C. Hamilton,23,€375K,England,62,70,Mansfield Town
Sastre,32,€1.3M,Spain,70,70,SD Huesca
Hugo Díaz,21,€180K,Spain,55,70,Leeds United
C. Tiffert,36,€240K,Germany,70,70,FC Erzgebirge Aue
L. Schaffran,19,€170K,Germany,58,70,SpVgg Greuther Fürth
D. Marney,34,€875K,England,70,70,Fleetwood Town
Guerrero,20,€375K,Spain,62,70,CF Reus Deportiu
M. Jansen,25,€700K,Germany,66,70,SV Sandhausen
M. Ludwig,19,€220K,Germany,58,70,Hallescher FC
T. Kister,31,€1.2M,Germany,70,70,SV Sandhausen
N. Beyer,21,€350K,Germany,61,70,FSV Zwickau
Óscar Whalley,24,€525K,Spain,65,70,Aarhus GF
M. Johnstone,19,€160K,England,57,70,Sunderland
J. Colback,28,€1.4M,England,70,70,Nottingham Forest
Sergio Tienza,21,€260K,Spain,60,70,Real Betis
S. Michel,27,€1.9M,Germany,70,70,SC Paderborn 07
F. Kohls,23,€450K,Germany,62,70,FC Würzburger Kickers
Javi Lara,32,€1.3M,Spain,70,70,Córdoba CF
M. Worthington,20,€230K,England,58,70,Forest Green Rovers
B. Röcker,28,€1.4M,Germany,70,70,Brøndby IF
S. Cartwright,17,€170K,England,58,70,Peterborough United
Momo,35,€775K,Spain,70,70,UD Las Palmas
H. Pickering,19,€170K,England,55,70,Crewe Alexandra
L. Cattermole,30,€1.3M,England,70,70,Sunderland
B. Collins,21,€300K,England,61,70,Burton Albion
C. Gardner,31,€1.5M,England,70,70,Birmingham City
H. Spratt,18,€160K,England,57,70,Huddersfield Town
César Arzo,32,€1M,Spain,70,70,Gimnàstic de Tarragona
C. Guy,21,€325K,England,60,70,Blackpool
De las Cuevas,32,€1.3M,Spain,70,70,Córdoba CF
J. Anderson,22,€450K,England,62,70,Doncaster Rovers
Alberto Varo,25,€450K,Spain,64,70,CD Lugo
T. Golden,18,€160K,England,57,70,Wigan Athletic
N. Dyer,30,€1.7M,England,70,70,Swansea City
C. Merrie,19,€140K,England,54,70,Wigan Athletic
Pita,33,€725K,Spain,70,70,CD Lugo
Fran Serrano,23,€375K,Spain,62,70,Granada CF
A. Feick,30,€1.3M,Germany,70,70,1. FC Heidenheim 1846
Kike PIna,21,€290K,Spain,60,70,SD Eibar
Nino,38,€625K,Spain,70,70,Elche CF
Cristian Rodríguez,22,€325K,Spain,60,70,Atlético Madrid
Iriome,31,€1.6M,Spain,70,70,CD Lugo
J. Debrah,18,€160K,England,57,70,Millwall
M. Mancienne,30,€1.3M,England,70,70,New England Revolution
O. Younger,18,€160K,England,57,70,Burnley
N. Neidhart,23,€525K,Germany,64,70,VfL Sportfreunde Lotte
T. King,23,€325K,England,62,70,AFC Wimbledon
U. Hünemeier,32,€1M,Germany,70,70,SC Paderborn 07
D. Hume,21,€290K,England,60,70,Sunderland
Carlos Nieto,22,€625K,Spain,65,70,Real Zaragoza
C. Wood,21,€230K,England,59,70,Bradford City
M. Pearson,24,€700K,England,66,70,Luton Town
Raúl Sánchez,20,€270K,Spain,59,70,CD Leganés
M. Morrison,30,€1.3M,England,70,70,Birmingham City
T. Denton,22,€325K,England,61,70,Peterborough United
L. Tomlin,29,€1.7M,England,70,70,Cardiff City
D. Wheater,31,€1.2M,England,70,70,Bolton Wanderers
J. Shackell,34,€550K,England,70,70,Lincoln City
David Fernández,33,€725K,Spain,70,70,AD Alcorcón
H. Toffolo,22,€600K,England,65,70,Lincoln City
P. Huntington,30,€1.3M,England,70,70,Preston North End
N. Thomas,23,€625K,England,64,70,Notts County
A. Jones,23,€625K,England,64,70,Bradford City
K. Pusch,25,€950K,Germany,67,70,1. FC Heidenheim 1846
M. Crooks,24,€600K,England,64,70,Northampton Town
Z. Ismail,24,€975K,England,67,70,Walsall
Nacho,25,€950K,Spain,67,70,CD Numancia
C. Wyke,25,€975K,England,67,70,Sunderland
M. Kleinsorge,22,€725K,Germany,65,70,SV Meppen
S. Griesbeck,27,€1.5M,Germany,70,70,1. FC Heidenheim 1846
J. Steele,27,€650K,England,67,70,Brighton & Hove Albion
C. Strohdiek,30,€1.3M,Germany,70,70,SC Paderborn 07
E. Fryers,25,€800K,England,67,70,Barnsley
M. Stoppelkamp,31,€1.6M,Germany,70,70,MSV Duisburg
G. Baldock,25,€800K,England,67,70,Sheffield United
C. Johnson,21,€525K,England,64,70,Accrington Stanley
P. Drewes,25,€525K,Germany,65,70,FC Würzburger Kickers
F. Holland,27,€1.5M,Germany,70,70,SV Darmstadt 98
M. Wanitzek,25,€950K,Germany,67,70,Karlsruher SC
O. Khan,21,€625K,England,64,70,Mansfield Town
R. Hall,24,€975K,England,67,70,Oxford United
Endika,21,€450K,Spain,63,70,CA Osasuna
J. Hopcutt,26,€975K,England,67,70,Östersunds FK
S. Gassama,23,€525K,Spain,63,70,UD Almería
Javi Márquez,32,€1.3M,Spain,70,70,Gimnàstic de Tarragona
B. Purrington,22,€425K,England,63,70,AFC Wimbledon
Christian Fernández,32,€1M,Spain,70,70,Real Oviedo
Jairo,24,€975K,Spain,67,70,Cádiz CF
S. Nelson,22,€450K,England,63,70,Swindon Town
M. Sarr,23,€525K,Germany,64,70,VfR Aalen
N. Yennaris,25,€950K,England,67,70,Brentford
Javi Guerra,36,€625K,Spain,70,70,Rayo Vallecano
O. Bogle,24,€850K,England,66,70,Birmingham City
S. Salger,28,€1.4M,Germany,70,70,DSC Arminia Bielefeld
D. Baumann,23,€725K,Germany,65,70,FC Würzburger Kickers
J. Clarke-Harris,23,€725K,England,65,70,Coventry City
G. Gardner,26,€1.9M,England,70,70,Birmingham City
M. Preston,23,€825K,England,67,70,Mansfield Town
D. Schad,21,€450K,Germany,63,70,1. FC Kaiserslautern
C. Bramall,22,€425K,England,63,70,Arsenal
C. Goode,22,€450K,England,63,70,Scunthorpe United
T. Blackett,24,€800K,England,67,70,Reading
M. Lais,27,€875K,Germany,68,70,SSV Jahn Regensburg
A. Cairns,25,€525K,England,65,70,Fleetwood Town
D. Roßbach,25,€900K,Germany,68,70,Karlsruher SC
J. Bandowski,24,€700K,Germany,66,70,VfL Bochum 1848
Javi Ros,28,€1.8M,Spain,70,70,Real Zaragoza
Manu García,27,€575K,Spain,66,70,Extremadura UD
V. Ranković,25,€675K,Germany,66,70,FC Hansa Rostock
N. Röseler,26,€900K,Germany,68,70,VVV-Venlo
J. Pearce,30,€1.3M,England,70,70,Charlton Athletic
J. Gordon,23,€525K,England,63,70,Walsall
Iván Márquez,24,€625K,Spain,65,70,Korona Kielce
D. Widemann,21,€525K,Germany,63,70,SpVgg Unterhaching
G. Hall,26,€900K,England,68,70,Queens Park Rangers
Juan Delgado,24,€525K,Spain,63,70,Levante UD
J. Steer,25,€525K,England,65,70,Charlton Athletic
B. Potts,23,€725K,England,65,70,Barnsley
Noblejas,25,€600K,Spain,65,70,Real Sporting de Gijón
S. Reddemann,22,€450K,Germany,63,70,SV Wehen Wiesbaden
F. Kalig,25,€925K,Germany,68,70,FC Erzgebirge Aue
A. Geipl,26,€900K,Germany,68,70,SSV Jahn Regensburg
T. Holmes-Dennis,22,€525K,England,64,70,Bristol Rovers
S. Bösel,23,€600K,Germany,64,70,SG Sonnenhof Großaspach
Montoro,23,€425K,Spain,63,70,UD Almería
Salva Ruíz,23,€600K,Spain,65,70,RCD Mallorca
Isaac Carcelén,25,€675K,Spain,66,70,CF Rayo Majadahonda
M. Hornschuh,27,€875K,Germany,68,70,FC St. Pauli
M. Ristl,21,€450K,Germany,63,70,VfR Aalen
G. Leadbitter,32,€1M,England,70,70,Middlesbrough
Ander Cantero,23,€375K,Spain,63,70,CF Rayo Majadahonda
B. Girth,26,€1.1M,Germany,68,70,Holstein Kiel
D. Steininger,23,€450K,Germany,62,70,SpVgg Greuther Fürth
Grego Sierra,25,€700K,Spain,65,70,CD Numancia
Jordi Quintillà,24,€825K,Spain,66,70,FC St. Gallen
J. Mäder,21,€375K,Germany,61,69,FSV Zwickau
A. Fink,30,€1M,Germany,69,69,Karlsruher SC
T. Bonga,21,€375K,Germany,61,69,FSV Zwickau
L. Chambers,32,€600K,England,69,69,Ipswich Town
Kiki,21,€325K,Spain,61,69,Extremadura UD
Juanjo,30,€775K,Spain,69,69,GIF Sundsvall
Romero,22,€375K,Spain,61,69,Extremadura UD
M. Bunn,33,€525K,England,69,69,Aston Villa
Luis Díaz,23,€375K,Spain,61,69,CD Lugo
David Batanero,29,€1M,Spain,69,69,GIF Sundsvall
M. Rodas,21,€375K,Germany,61,69,FSV Zwickau
L. Ridgewell,33,€425K,England,69,69,Portland Timbers
L. Cueto,22,€375K,Germany,61,69,SC Preußen Münster
D. Ward,27,€1.1M,England,69,69,Cardiff City
