ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.Hattie Godfrey,,,schooner,1882,"Cherryfield, ME",1/14/1900,1900,1,14,Sandy Hook Point,,,Stranded,,,87,26.4,6.4,104,99,"Machias, ME",New York,NY,"Baracoa, Cuba",Lord,5,,0,"$4,000","$3,000",General cargo,,N,N ,#95705 Ship and cargo saved,
S.S.Hattie J,,,schooner,1864,"Great Egg Harbor, NJ",9/24/1881,1881,9,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,30,28.53,"Somers Point, NJ",Somers Point,NJ,"New York, NY",Campbell,3,,0,$800,$100,Wood,,N,N,#11262 Refloated,
S.S.Hattie Paige,,Charles P Godfrey et al,schooner,1867,"Bridgeton, NJ",4/29/1885,1885,4,29,Sandy Hook In Horse Shoe,,,Stranded,,,115.1,29.5,9.1,297,,"Cape May, NJ",New York,NY,"Chester, PA",Charles P Godfrey,,,,,,Cement,,,N ,#11811,
S.S.Hattie Perry,,,schooner,1862,"Bath, ME",10/19/1881,1881,10,19,Cape May Point; 1 1/2 mi E LSS #40,,,Stranded,,,,,,174.12,,"New Bedford, MA",New Bedford,MA,"Philadelphia, PA",Chase,5,,0,"$8,000","$2,400",Lumber & sperm whale oil,Sta #40,N,N ,#95182; Refloated; ship and cargo saved,
S.S.Hattie Rebecca (1897),,,schooner,1875,"Noank, CT",1/28/1897,1897,1,28,Sea Isle City,,,Stranded,,,41.8,15,6,18,16.63,"Somers Point, NJ",Atlantic City,NJ,Fishing trip,Parker,3,,0,"$1,500",$0,None,Sea Isle City Sta,N,N,#95394; Refloated; saved,
S.S.Hattie Rebecca (1902),,,schooner,1875,"Noank, CT",7/9/1902,1902,7,9,Absecon Inlet,,,Stranded,,,41.8,15,6,18,16.63,"Somers Point, NJ",Atlantic City,NJ,Fishing trip,Morey,5,,0,$600,,,Atlantic City,N,N,#95394; All cargo lost,
S.S.Hattie S Collins,,,schooner,1867,"East Haven, CT",3/28/1881,1881,3,28,Barnegat Inlet North side,,,Grounded,,,97,26,7,122.77,116.63,"New Haven, CT",Boothbay,ME,"Barnegat, NJ",,5,,0,"$5,000",$400,30 ton Ice,,,N ,#11341,
S.S.Helen & Sallie,,,schooner,1887,,5/3/1929,1929,5,3,"Fortescue Creek, NJ",,,Stranded,,,,,,16,,,,,,,5,,0,,,,,,N,,
S.S.Helen A Locke,,J Mays et al,schooner,1870,"East Boston, MA",12/27/1874,1874,12,27,Little Egg Harbor shoal,,,Stranded,,,95,23.6,9,94,,"Boston, MA",Puerto Rico,,"New York, NY",J Grey,6,,0,"$10,000","$3,000",Oranges,Little Egg # 23,Y,N ,#95088; Total loss,
S.S.Helen Frazier,,,schooner,,,2/3/1845,1845,2,3,Deal Beach,,,Grounded ashore in hurricane,,,,,,,,"Portland, ME",Baltimore,MD,"Portland, ME",Clarke,,,,,,,,Y,N,Total loss,
S.S.Helen M Waite,,Wadsworth & Kelly,schooner,1867,"Colais, ME",3/26/1873,1873,3,26,Barnegat N 15 mi,,,"Stranded, Abandoned",,,,,9,123,,,Savannah,GA,"New York, NY",Colin McRae,,,,,,,,N,N,Refloated and towed to New York,
S.S.Helen Maud,,,schooner,,,~ 1854,1854,,,Long Beach Island,,,Grounded,,,,,,,,,,,,,,,,,,,,Y,N,Broke up; crew found starving,
S.S.Helen Merander,,,schooner,,,11/15/1878,1878,11,15,Tuckers Beach E 1.5 mi,,,Foundered,,US,,,,45,,"New Bedford, MA",Fairhaven,MA,"Philadelphia, PA",Shira Kelly Fair,,,,"$1,500","$5,000",,,,N ,#11065,
S.S.Hendrick Hudson (1865),,,schooner,,,9/26/1865,1865,9,26,Barnegat Inlet,,,Wrecked,,,,,,104,,"New London, CT",Philadelphia,PA,"Providence, RI",I W Avery,5,,,,,Coal,,Y,N,Total loss; details unknown,
S.S.Henrico,,,schooner,,,12/31/1855,1855,12,31,Barnegat Shoal,,,Stranded,,,,,,,,,New York,NY,"Richmond, VA",,,,,,,,,,N ,,
S.S.Henrietta (1841),,,schooner,,,3/16/1841,1841,3,16,"Long Branch, NJ",,,Stranded,,,,,,,,,,,,,,,,,,,,Y,N,Total loss; Went to pieces,
S.S.Henrietta (1863),,,schooner,,,~ 1863,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Henrietta (1873),,,schooner,,,2/21/1873,1873,2,21,"Long Branch, NJ",,,Stranded,,,,,,,,"East Rockaway, NY",Virginia,,"New York, NY",W H Rider,5,,0,"$4,000",$700,Oysters,Monmouth Beach #4,Y,N ,Refloated,
S.S.Henry (1839),,,schooner,,,12/22/1839,1839,12,22,Brigantine Shoal,,,Capsized,,,,,,,,"Somerset, MA",,,,,,,,,,,,Y,N,Sunk with all crew,
S.S.Henry (1854),,,schooner,,,12/17/1854,1854,12,17,Sandy Hook,,,Stranded,,,,,,,,,Norfolk,VA,"Providence, RI",,,,,,,,,N,N ,Refloated; put into New York,
S.S.Henry A Jordan,,,schooner,,,7/4/1886,1886,7,4,Little Egg Harbor Inlet,,,Grounded,,,,,,102,,"Bridgeton, NJ",Philadelphia,PA,"Beach Haven, NJ",Campbell,4,,0,"$6,000","$1,500",Lumber,Little Egg  ,N,N,Refloated,
S.S.Henry B Metcalf,H B Metcalf,,schooner,1856,"Bristol, RI",10/9/1895,1895,10,9,Absecon bar,,,Stranded,,US,105,28.3,8.3,160,152.46,"Bangor, ME",Bangor,ME,"Atlantic City, NJ",Harper,4,,0,"$4,000","$2,250",Lumber,Absecon & Atlantic City,Y,N,#11056; Total loss,
S.S.Henry C Winship,,,schooner,1873,"Bath, ME",8/23/1889,1859,8,23,Brigantine Shoal,,,Stranded,,,138.3,32.3,15,487,472.47,"Boston, MA",Windsor,NS,"Baltimore, MD",Doaue,9,,0,"$10,000",$450,Plaster,,N,N,#95140; Refloated,
S.S.Henry Chase,,,schooner,,,11/12/1846,1846,11,12,Hereford Inlet bar,,,Grounded,,,,,,,,,New York,NY,"Philadelphia, PA",,,,,,,Barley,,Y,N ,Total Loss,
S.S.Henry Clay (1838),,,schooner,,,4/6/1838,1838,4,6,Squan Beach,,,,,,,,,,,,Folly Landing,,"New York, NY",,,,,,,,,,N ,Crew all drowned,
S.S.Henry Clay (1917),,,schooner,1890,,4/6/1917,1917,4,6,"Montauk Point, NY",,,Foundered,,,,,,841,,,,,,,,,,,,,,,N,,
S.S.Henry Crocker,,Henry Crocker,schooner,1904,"Patchogue, NY",5/27/1927,1927,5,27,Sandy Hook,,,Stranded,,,66,24.8,4.8,43,40,"New York, NY",,,,,2,,0,,,,,,N ,#200752,
S.S.Henry D Brewster,,Smith & Brewster,schooner,1874,"Bay Shore, NY",1/8/1886,1886,1,8,Monmouth Beach LSS S 2 mi,,,Grounded,,,71,20,5.3,42,,"Patchogue, NY",Virginia,,"New York, NY",Hendrikson,5,,0,"$4,000","$1,000",Oysters,Monmouth Beach,Y,N ,#95294; Total loss,
S.S.Henry Disston (1886),,,schooner,,,8/7/1886,1886,8,7,Atlantic City LSS N .75 mi,,,Stranded,,,,,,42,,"Norfolk, VA",,,"Atlantic City, NJ",Harris,4,,0,"$3,000",,Ballast,Atlantic City,N,N ,All saved,
S.S.Henry Disston (1900),,,schooner,1881,"Portsmouth, VA",4/26/1900,1900,4,26,Little Beach LSS E 1.5 mi,,,Grounded,,,73,19.8,5.2,41,26,"Norfolk, VA",Great Bay,,"Atlantic City, NJ",Showell,4,,0,"$1,500",,,Little Beach,N,N  ,#95644; Refloated; cargo saved,
S.S.Henry Disston (1909),,,schooner,,,5/7/1909,1909,5,7,Atlantic City LSS N 1 mi,,,Stranded,,,,,,41,,,Greenpoint,NY,"Absecon, NJ",,4,,0,"$2,500","$1,200",Oysters,Atlantic City #27,N,N,Refloated,
S.S.Henry Finch,,,schooner,1854,"Poughkeepsie, NY",11/28/1897,1897,11,28,Harvey Cedars LSS NNE 1 mi,39-42-2 N,74-07-8 W,Grounded,Wood,US,111.6,30.6,9.6,208.52,198.1,"New York, NY",Virginia,,"New York, NY",Henry Soper,7,,0,,,Wood (pine),Harvey Cedars ,,N ,#11373; See other Henry Finch,
S.S.Henry Franklin,,,schooner,,,3/17/1834,1834,3,17,Barnegat Inlet,,,Stranded,,,,,,,,,,,,,,,,,,,,,N ,Cargo stolen; Thieves apprehended,
S.S.Henry H Pitts,,Henry Pitts,schooner,1878,"Rondont, NY",12/7/1880,1880,12,7,Between Hereford Inlet & Cape May,,,Struck sunken wreck,,,,,,229,217.71,"New York, NY",,,,Cavileer,,,,,,,,N,N ,Partial loss,
S.S.Henry J Raymond,H J Raymond,John Van Buskirk,schooner,1864,"Newburgh, NY",5/31/1883,1883,5,31,Shark River LSS N 1.5 mi,,,Stranded,Wood,US,113,29.5,9,190.38,180.87,"New York, NY",New York,NY,Virginia,Cranmer,6,,0,"$8,000",,In ballast,Shark River,N,N,#11797; Refloated,
S.S.Henry Lemuel,,,schooner,,,7/2/1841,1841,7,2,,,,Capsized,,,,,,,,"Little Egg Harbor, NJ",,,,,,,1,,,,,Y,N,All saved but steward,
S.S.Henry M Clarke,,Charlotte Shaw,schooner,1877,"Essex, MA",8/25/1891,1891,8,25,Absecon Inlet South bar,,,Foundered,Wood,US,102.5,25.2,10.6,173,164.75,"Camden, NJ",Poughkeepsie,NY,"Morris River, NJ",Shaw,5,2,0,"$6,000",,,,Y,N,#95470; Total loss,
S.S.Henry May,,,schooner,1854,"Milford, DE",10/3/1897,1897,10,3,Ocean City LSS E 3 mi,,,Capsized,,US,101.7,27.2,9,188.91,179.46,"Portland, ME",James River,VA,"Portland, ME",Perry,5,,0,"$3,000","$1,200",Pilings,Ocean City,Y,N,#11569; $1100 of cargo saved,
S.S.Henry R Tilton,,Samuel E Birdsall,schooner,1874,"Wilmington, DE",6/16/1886,1886,6,16,Highlands,,,"Collision w/ ""Delaware""",,,152,35,16,492.48,468,,Baltimore,MD,"New York, NY",,,,,,,,,,N ,#95344,
S.S.Henry Wardell,,,schooner,1862,,12/26/1909,1909,12,26,Pecks Beach,,,Foundered,,,,,,69,,,,,,, ,,1,,,Stone,,,N,#11374,
S.S.Henry Waring,,,schooner,,,~ 4/1829,1829,4,,Barnegat,,,,,,,,,,,,New Bern,NC,,,,,,,,"Cotton, naval stores",,,N ,,
S.S.Herman Ellis (1900),,,schooner,1882,"Wicomico County, MD",4/13/1900,1900,4,13,Townsends Inlet LSS SW .5 mi,,,Stranded,,,62.3,17.7,5.1,23,22,"Norfolk, VA",Hog Island,VA,"Townsends Inlet, NJ",Steffins,3,,0,$500,$230,Oysters,Townsend Inlet  ,N,N ,#95714; Refloated,
S.S.Herman Ellis (1910),,,schooner,1882,"Wicomico County, MD",5/6/1910,1910,5,6,Little Egg Harbor N 10 mi,,,Struck submerged wreck,,,62.3,17.7,5.1,23,22,"Norfolk, VA",Little Egg Harbor,NJ,"Bridgeport, CT",Stebbuis,3,,0,"$2,000", ,Oysters,,,N ,#95701,
S.S.Hermit # 7,James Gordon Bennett,,schooner,1893,"Brooklyn, NY",12/15/1906,1906,12,15,Sandy Hook,,,"Collision w/ ""Monterey""",,,80.2,21.6,9.3,70,67,"New York, NY",,,,,10,,0,,,,,Y,N ,#77105; Sunk; NJ pilot died from injuries,
S.S.Hero,,,schooner,,,1/4/1856,1856,1,4,New Jersey coast,,,Abandoned; leaking,,,,,,,,,Bluehill,ME,"Norfolk, VA",,,,,,,,,Y,N,"Crew rescued by ""Beatrice""",
S.S.Herschel,,,schooner,,,12/9/1876,1876,12,9,Sandy Hook In Horse Shoe,,,Stranded,,,,,,450,,"Perth Amboy, NJ",Baltimore,MD,"Sandy Hook, NJ",Chambers,7,,0,"$15,000",$360,Coal,Sandy Hook #1,N,N,Refloated; minimal loss,
S.S.Hester A Seward,,Thomas Seward,schooner,1885,"Taylor Island, MD",6/26/1893,1893,6,26,Chadwick LSS N .75 mi,,,Stranded,Wood,US,108.8,28.8,7.6,158,150.1,"Baltimore, MD",Norfolk,VA,"Bridgeport, CT",Palmer,5,,0,"$7,000","$1,500",Lumber,Chadwick,N,N ,#95859; Refloated; partial loss,
S.S.Hildur Mabel,,,schooner,1910,"Greenwich, NJ",2/3/1914,1914,2,3,Barnegat LSS NNE 1.25 mi,,,Grounded,,,52,16.5,5,19,14,"Tuckerton, NJ",Holly Beach,,"Barnegat Light, NJ",,7,0,0,"$6,000",$300,Fish,Barnegat Inlet,,N,#207313; All saved,
S.S.Honduras,,J Cross,schooner,1848,"Essex, MA",12/11/1863,1863,12,11,Old Cranberry Inlet,,,Stranded,Oak ,,,,10,107,,"Provincetown, MA",Provincetown,MA,"Philadelphia, PA",J Cross,,,,,,,,,N,#2165,Scrapbook #15
S.S.Hope (1868),,,schooner,,,11/1868,1868,11,,Sandy Hook,,,,,,,,,,,,,,,,5,,2,,,,,,N,,
S.S.Hope Sherwood,,,schooner,1903,"Bath, ME",2/15/1916,1916,2,15,Five Fathom Bank Lightship SE 14 mi,,,"Collision w/ ""Yumuri""",Wood,,172.8,36.6,14,686,522,"New London, CT",New York,NY,"Norfolk, VA",,,,,,,,,N,N,#96661; Damaged estimated at $8000,
S.S.Horace Moodie,,John Wallace et al,schooner,1872,"Bridgeton, NJ",11/30/1877,1877,11,30,Barnegat NE 20 mi,,,"Collision w/ ""Nellie H Benedict""",Wood,US,,,,243.19,,"Philadelphia, PA",Philadelphia,PA,"Boston, MA",Aaron Hand,6,,0,"$16,000","$1,500",365  tons of coal ,,Y,N,#95165; Total loss,
S.S.Hornet (1883),,,schooner,,,9/5/1883,1883,9,5,Cape May LSS E 1 mi,,,Stranded,,,,,,19.45,18.48,"Philadelphia, PA",Delaware Breakwater,,Fishing Banks,Schellenger,0,,,"$1,000", ,,Cape May LSS,Y,N ,#111325; Total loss,
S.S.Howard A Hunt,H A Hunt,Petersen et al,schooner,1867,"Mauricetown, NJ",10/15/1877,1877,10,15,Cape May Point,,,Stranded,Wood,US,118.5,29.7,9,339,,"Mauricetown, NJ",Georgetown,DC,"Providence, RI",E C Ross,8,,0,,,Soft coal,Cape May #40,N,N,#11824; Refloated,
S.S.Howard B Peck,,William L Peck,schooner,1890,"New London, CT",4/20/1895,1895,4,20,Hereford Inlet,,,"Struck on wreck of  ""M F Sprague""",Wood,US,150,35,12,472.32,448.71,"New London, CT",Providence,RI,"Philadelphia, PA",C W Hamilton,7,0,0,"$20,000",,in ballast,,,N,#96070,
S.S.Howard Williams (1885),,,schooner,1872,"Wilmington, DE",2/4/1885,1885,2,4,Barnegat Light E 12 mi,,,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth Amboy, NJ",Baltimore,MD,"New York, NY",Pierce,,,,,,,,N,N ,#95184; Partial loss; Repaired,
S.S.Howard Williams (1888),,,schooner,1872,"Wilmington, DE",3/12/1888,1888,3,12,Cape May LSS N 6 mi,,,Stranded,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth Amboy, NJ",Fall River,MA,"Norfolk, VA",Foster,7,,0,"$10,000",$450,Barrels,Cape May LSS,N,N ,#95184; Refloated,
S.S.Howard Williams (1891),,,schooner,1872,"Wilmington, DE",1/30/1891,1891,1,30,Absecon,,,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth amboy, NJ",Baltimore,MD,"New York, NY",,,,,,,,,Y,N ,#95184; Total loss,
S.S.Hudson (1843),,,schooner,,,9/24/1843,1843,9,24,Absecon bar,,,Grounded; Bilged,,,,,,,,,Baltimore,MD,"New York, NY",Cololey,,,,,,"Coffee, iron, biscuit, etc.",,Y,N ,Probably total loss,
S.S.Humarock,Isaac Carlton,A D Cummins,schooner,1883,"Columbia Falls, ME",5/29/1914,1914,5,29,Sandy Hook,,,Collision w/ tug,Wood,,133.5,33.4,14.3,455,399,"Philadelphia, PA",New York,NY,"Philadelphia, PA",W.H. Fonwell,8,0,0,"$7,000",,None,,,N,"#100344; aka ""Isaac Carlton""",
S.S.I Don't Know,,,schooner,1872,"Wading River, NJ",3/31/1879,1879,3,31,Little Egg LSS S 1.5 mi,,,Stranded in gale,,US,53,19.9,5.2,30.36,28.94,"Tuckerton, NJ",,,,,3,,0,,,,Little Egg & Bonds,N,N,#100098; Refloated,
S.S.Ibis (1870),,,schooner,,,12/3/1870,1870,12,3,Cape May,,,Loss of foremast in gale,,England,,,,,,,St John,NB,"Philadelphia, PA",Bradley,,,,,,,,N,N,"Towed to NY by pilot boat ""Edmund Briggs""",
S.S.Ida (1849),,,schooner,,,1/2/1849,1849,1,2,Barnegat Beach,,,Driven ashore,,,,,,,,,,,"St John, NB",Roberts,,,,,,,,,N,,
S.S.Ida B Gibson,,Charles Bowker et al,schooner,1874,"Chester, PA",11/9/1917,1900,11,9,Avalon LSS SE 5 mi,,,"Lost spar, in ditress",Wood,US,121,32.6,9,235,223,"Tuckerton, NJ",Norfolk,VA,"New York, NY",Falkinberg,6,,0,"$3,000","$3,500",Lumber,Avalon Station #16,N,N,#100111; Partial Loss,
S.S.Ida Smith,,,schooner,,,1/4/1870,1870,1,4,Pecks Beach,,,Stranded,,,,,,,,,New York,NY,"Estelville, NJ",,,,,,,in ballast,,N,N,Refloated,
S.S.Illinois,,,schooner,,,11/24/1844,1844,11,24,Absecon bar,,,Blown ashore,,,,,,,,,Philadelphia,PA,"Middletown, CT",Dowd,,,0,,,,,Y,N,"Lost, Crew saved",
S.S.Imogene Diverty,,Somers Candy,schooner,1873,"Dennisville, NJ",7/26/1878,1878,7,26,Cape May near Cold Spring,,,Stranded in storm,,,111.4,23.4,8.6,188,178,"Camden, NJ",Rondout,NY,"Somers Candy, NJ",,4,,0,"$7,500","$4,000",Railroad Iron (23 tons),Cape May #39,N,N,#100133; Partial loss,
S.S.Industry (1771),,,schooner,,,12/14/1771,1771,12,14,Cape May,,,Stranded,,,,,,,,,James River,VA,"Philadelphia, PA",James Gilbert, ,,0,,, ,,Y,N,Crew saved; ship & cargo lost,
S.S.Industry (1773),,,schooner,,,6/19/1773,1773,6,19,Egg Harbor Inlet,,,Stranded,Wood,US,25,,,,,North Carolina,North Carolina,,"New York, NY",James Grant,2,,1,,,"Furs, cloths, etc",,N,N,Refloated,
S.S.Intrepid,,,schooner,,,9/10/1846,1846,9,10,Seven Mile Beach,,,Grounded,,,,,,,,"New York, NY",,,,,,,,,,,,Y,N ,"Crew lost, Total loss",
S.S.Ira Laffrienier,,,schooner,1863,"Cleveland, OH",3/19/1887,1887,3,19,Ocean City LSS NE 1 mi,,,Stranded,,,123,25,9,198.68,188.75,"Boston, MA",Boothbay,ME,"Ocean City, NJ",Crowell,5,,0,"$6,000",$400,Ice,Ocean City,N,N,#12063; Refloated,
S.S.Ironsides,,,schooner,,,8/24/1850,1850,8,24,New Jersey coast,,,Foundered in gale,,,,,,,,,New York,NY,Delaware Breakwater,Welch,13,,8,,,Stone,,,N,,
S.S.Irvine,,,schooner,,,2/24/1877,1877,2,24,Sandy Hook,,,"Collision w/ ""Daniel Pierson""",,,,,,197.35,,"Eastport, ME",Pascagoula,MS,"Newport, RI",Berry,,,,,,,,,N ,#12314,
S.S.Isaac Enslow,,,schooner,,,11/15/1841,1841,11,15,,,,,,,,,,,,,Philadelphia,PA,"New York, NY",Higbee,,,,,,,,Y,N,"Crew rescued by ""Ferax""",
S.S.Isaac H Tillyer,,National Beard Cargo,schooner,1884,"Dennisville, NJ",10/28/1889,1889,10,28,"Off Barnegat, NJ",,,"Collision w/ ""Mary A Hall""",Wood,,144.6,35,16.9,598.31,568.39,"Philadelphia, PA",Gardiner,ME,"Philadelphia, PA",W L Smith,7,,0,"$20,000","$1,000",800 tons ice,,N,N,#100359; Partial loss; Beached,
S.S.Isaac Hinkley,,Spofford et al,schooner,1852,"Rockland, ME",7/25/1871,1871,7,25,"Off Barnegat, NJ",,,Capsized,,US,,,9,167,,"New York, NY",James River,VA,"New York, NY",J Randolph,6,,6,,,,,Y,N,Total loss; crew lost,
S.S.Isaac Newton (1847),,,schooner,,,12/1847,1847,12,,Perth Amboy,,,Wrecked,,,,,,50,,,Barnegat,NJ,,,,,,,$400,,,Y,N,Total loss,
S.S.Isaac Rich,,Bryant,schooner,1866,"Gloucester, MA",1/15/1874,1874,1,15,Cape May E 100 mi,,,"Collision w/ ""John Albert Smith""",,,,,10,92,,"Salem, MA",Salem,MA,"Philadelphia, PA",Oliver,,,,,,400 lbs herring; 120 bbls mackerel,,,N,,
S.S.Isabella (1850),,,schooner,,,4/1850,1850,4,,Sandy Hook W,,,,,,,,,,,"New Bern, NC",,,,Samuel Penny,6,0,6,,,50 bales cotton;140 bbls resin,,,N,,
S.S.Isle of Pines,,,schooner,1856,"Great Egg Harbor, NJ",8/3/1871,1871,8,3,Hereford Inlet,,,Collision; Damaged,,US,,,7.5,170,,"New Gretna, NJ",Virginia,,"New York, NY",Lake,,,,,,,,,N,,
S.S.Israel J Merritt,,Curtis et al,schooner,1868,"Staten Island, NY",3/23/1874,1874,3,23,Cape May,,,Capsized & righted in heavy gale,,,56,21,5,45, ,"Squan, NJ",,,,Curtis,,,,,,,,N,N,Towed to Philadelphia,
S.S.J & H Scull (1886),,,schooner,1884,"English Creek, NJ",11/6/1886,1886,11,6,Absecon Inlet North shoal,,,Grounded,Wood,US,87,28.3,6.2,111.21,106,"Somers Point, NJ",Hatteras,NC,"Atlantic City, NJ",Ingersoll,6,,0,"$7,000","$1,500",Lumber,Atlantic City,N,N,#76536; Refloated,
S.S.J & H Scull (1892),,,schooner,1884,"English Creek, NJ",1/18/1892,1892,1,18,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded & Leaking,Wood,US,87,28.3,6.2,111.21,106,"Somers Point, NJ",Bass River,NC,"Atlantic City, NJ",Ingersoll,6,,0,"$8,000","$1,000",Lumber,Ocean City,Y,N,#76536; Total loss,
S.S.J A Holmes,J H Holmes,,schooner,1867,"Mears, MI",9/8/1917,1917,9,8,Barnegat,,,"Struck remains of ""Sumner""",Wood,US,112.3,26.5,8.7,167,159,"New York, NY",Hawksbury,NY,"""A Southern port""",,4,,0,,,Lumber,,Y,N,#12760; Broke up slowly; Total loss,
S.S.J and C Merritt (1871),,,schooner,1866,"English Creek, NJ",11/11/1871,1871,11,11,Barnegat,,,Capsized,,,,,,35.41,33.64,"Somers Point, NJ",,,,Booy,3,,0,,,,,N,N,#12901; Recovered,
S.S.J and C Merritt (1880),,,schooner,1866,"English Creek, NJ",5/28/1880,1880,5,28,Townsends Inlet North bar,,,Stranded,,,,,,35.41,33.64,"Somers Point, NJ",North Carolina,,"Townsends Inlet, NJ",Booy,3,,0,"$1,500","$1,200",Cedar lumber,Townsends Inlet #34,N,N,#12901; Refloated,
S.S.J and C Merritt (1881),,,schooner,1866,"English Creek, NJ",11/24/1881,1881,11,24,Great Egg Harbor Inlet North side,,,Stranded,,,,,,35.41,33.64,"Somers Point, NJ",Somers Point,NJ,"New York, NY",Booy,3,,0,"$2,000","$3,000",,,N,N,"#12901; Refloated; See ""Hattie J""",
S.S.J and C Merritt (1886),,,schooner,1866,"English Creek, NJ",1/7/1886,1886,1,7,Barnegat Shoal,,,Grounded,,,,,,35.41,33.64,"Somers Point, NJ",Philadelphia,PA,"Barnegat, NJ",Booy,3,,0,"$1,500",$500,Lumber,Barnegat,N,N,#12901; Refloated,
S.S.J B Perry,,,schooner,,,4/12/1852,1852,4,12,Delaware Capes,,,Capsized; Abandoned,,,,,,,,,Philadelphia,PA,"Falmouth, MA",,,,0,,,,,Y,N,Total loss,
S.S.J D Burrows,,,schooner,,,1838 - 1878,1860,,,Barnegat Inlet NE 11.5 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,Y,N,Presumed wrecked,
S.S.J D Ingraham,,,schooner,1865,"Hartford, CT",11/28/1872,1872,11,28,Absecon Light,,,"Collision w/ ""Eva Belle""",,,,,,153,145.5,"Middletown, CT",Philadelphia,PA,"New Bedford, MA",Nickerson,,,,,,,,,N,#12967,
S.S.J E Simmons,,Lewis Smith,schooner,1863,"Leesburg, NJ",11/8/1872,1872,11,8,Cape May,,,Stranded,,US,,,10,200,,"Philadelphia, PA",Philadelphia,PA,"Boston, MA",Simpson,,,,,,416 ton coal,,N,N,Refloated,
S.S.J F Carver,,Carver & Benner,schooner,1857,"Tremont, ME",4/5/1871,1871,4,5,Cape May,,,Damaged in heavy winds,,US,,,10.5,146,,"Tremont, ME",Calais,ME,"Philadelphia, PA",Carver,,,,,,Lost 22000 pickets,,N,N,Lost deck cargo,
S.S.J F Farland,,Avery et al,schooner,1860,"Brookhaven, NY",10/1867,1867,10,,Sandy Hook Romer Shoal,,,Grounded,,US,110,29,11,287,,"Brookhaven, NY",,,,Avery,,,,,"$35,000",,,N,N,"Refloated by ""Rescue""",
S.S.J G Conner (A),,,schooner,1874,"Smith Landing, NJ",2/4/1884,1884,2,4,Little Egg LSS SW .5 mi,,,Grounded,,,,,,25.76,24.48,"Chincoteague, VA",Chincoteague,VA,"New York, NY",Willis,2,,0,"$1,500",$525,Oysters,Little Egg # 23,,N,#75731,
S.S.J G Conner (B),,,schooner,1874,"Smith Landing, NJ",3/4/1884,1884,3,4,Cold Spring Bar South point,,,Grounded,,,,,,25.76,24.48,"Chincoteague, VA",Sand Shoals,VA,"Great Egg Harbor, NJ",Willis,2,,0,"$1,500",$525,Oysters,Cold Spring,,N,#75731,
S.S.J G Crate,,,schooner,1865,"Absecon, NJ",7/5/1893,1893,7,5,Little Egg LSS SE 1.5 mi,,,Grounded,Wood,,64.5,22.4,5.2,43.32,41.16,"Somers Point, NJ",Haverstraw,NY,"Atlantic City, NJ",Price,3,,0,"$1,000",$225,Brick,Little Egg,N,N,#12905; Refloated,
S.S.J H Chadbourne,,,schooner,,,2/26/1855,1855,2,26,Absecon bar,,,Grounded,,,,,,,,,Wilmington,NC,"Boston, MA",,,,,,,,,,N,,
S.S.J H Holmes,,,schooner,,,9/1/1917,1917,9,1,Barnegat Inlet Shoal,,,"Struck wreckage of ""Sumner""",,,,,,,,,,,,,,,,,,Lumber,,Y,N,Broke up slowly,
S.S.J Hardee,,,schooner,,,1838 - 1878,1860,,,Squan Inlet S 3.5 mi,,,Wrecked,,,,,,,,,,,,,,,,,,,,,N,,
S.S.J Hartshorne,,,schooner,,,1838 - 1878,1860,,,Squan Inlet S 9 mi,,,,,,,,,,,,,,,,,,,,,,,,N,,
S.S.J Henry Edmunds (1898),,,schooner,,,4/17/1898,1898,4,17,Ocean City LSS E 1.3 mi,,,Stranded,,,,,,284,,"Bridgeton, NJ",Scarborough,ME,"Ocean City, NJ",Fidler,6,,0,"$8,000",$900,Ice,Ocean City,N,N,Refloated,
S.S.J K Stoneback,,,schooner,,,4/1861,1861,4,,,,,Abandoned,,,,,,,,,New York,NY,"Philadelphia, PA",,,,,"$3,500",,,,Y,N,Total loss,
S.S.J M Williams,,,schooner,,,11/1846,1846,11,,Barnegat,,,Grounded in gale,,,,,,,,,Norfolk,VA,"New York, NY",Eldridge,,,,,,,,Y,N,Total loss,
